, S1, H, Fano (tp), Fano (tu), LZ775 (tp), LZ775 (tu), LZ7710 (tp), LZ7710 (tu),LZ7720 (tp), LZ7720 (tu)
1, , , 808, 282, 30998, 425, 59875, 433, 116827, 450, 
2, , , 851, 309, 32756, 434, 61060, 432, 106212, 392, 
3, , , 651, 127, 13687, 137, 24841, 132, 43405, 137, 
4, , , 618, 117, 16345, 110, 28557, 108, 47098, 111, 
5, , , 819, 274, 26150, 365, 49160, 338, 92472, 359, 
6, , , 813, 297, 31184, 419, 58915, 408, 110834, 422, 
7, , , 827, 295, 30583, 417, 57723, 407, 108057, 415, 
8, , , 832, 296, 31997, 547, 59125, 411, 123961, 503, 
9, , , 801, 245, 17433, 252, 30028, 208, 51870, 213, 
10, , , 631, 184, 16192, 225, 29206, 227, 51895, 213, 
